Title,Link,keywords,publicationDate,authors,publication,abstract
Bone remodeling is regulated by inner ear vestibular signals,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6615562/,['Bone'],2024-12-10,"['Dr. Samuel Jones', 'Dr. Robert Garcia', 'Dr. Maria Gonzalez']",Radiation Research,This research paper investigates bone remodeling is regulated by inner ear vestibular signals. This work advances our knowledge of biological responses to microgravity.
Simulated Microgravity Enhances Oligodendrocyte Mitochondrial Function and Lipid Metabolism,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7324008/,"['Metabolism', 'Microgravity']",2023-06-08,"['Dr. Richard Chen', 'Dr. Robert Garcia', 'Dr. Samuel Jones']",Journal of Astrobiology,This research paper investigates simulated microgravity enhances oligodendrocyte mitochondrial function and lipid metabolism. The results have implications for long-duration space missions.
Human Neural Stem Cells Flown into Space Proliferate and Generate Young Neurons,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8412175/,"['Cell', 'Neural', 'Gene', 'Rat', 'Human', 'Space']",2021-07-10,"['Dr. Richard Chen', 'Dr. Sofia Rossi']",Journal of Exobiology,This research paper investigates human neural stem cells flown into space proliferate and generate young neurons. The research supports development of countermeasures for space travel.
Delayed Maturation of Oligodendrocyte Progenitors by Microgravity: Implications for Multiple Sclerosis and Space Flight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10607959/,"['Rat', 'Microgravity', 'Space']",2021-01-13,"['Dr. Richard Chen', 'Dr. Samuel Jones', 'Dr. Catherine Martinez']",Life Support & Space Habitation,This research paper investigates delayed maturation of oligodendrocyte progenitors by microgravity: implications for multiple sclerosis and space flight. The results have implications for long-duration space missions.
Space Microgravity Alters Neural Stem Cell Division: Implications for Brain Cancer Research on Earth and in Space,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9699585/,"['Brain', 'Cell', 'Neural', 'Microgravity', 'Space']",2022-06-30,"['Dr. Jennifer Lee', 'Dr. Amanda Taylor']",International Journal of Space Biology,This research paper investigates space microgravity alters neural stem cell division: implications for brain cancer research on earth and in space. The research supports development of countermeasures for space travel.
Oligodendrocyte Progenitors Display Enhanced Proliferation and Autophagy after Space Flight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9953055/,"['Rat', 'Space']",2021-02-07,"['Dr. Ben Carter', 'Dr. Eva Rostova', 'Dr. Elena Petrov', 'Dr. Jennifer Lee']",Space Medicine Review,This research paper investigates oligodendrocyte progenitors display enhanced proliferation and autophagy after space flight. Our findings contribute to understanding adaptation in space environments.
Metabolomics profile of the secretome of space-flown oligodendrocytes.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10528075/,['Space'],2021-01-11,['Dr. Catherine Martinez'],Aerospace Medicine and Human Performance,This research paper investigates metabolomics profile of the secretome of space-flown oligodendrocytes.. The results have implications for long-duration space missions.
Metabolomic profiling of the secretome from human neural stem cells flown into space.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10813126/,"['Human', 'Cell', 'Neural', 'Space']",2020-07-26,"['Dr. Jian Li', 'Dr. James Rodriguez', 'Dr. Samuel Jones']",Microgravity Science and Technology,This research paper investigates metabolomic profiling of the secretome from human neural stem cells flown into space.. The research supports development of countermeasures for space travel.
"Strategies, research priorities, and challenges for the exploration of space beyond low-Earth orbit",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10390562/,"['Rat', 'Orbit', 'Space']",2020-11-27,"['Dr. Ben Carter', 'Dr. Jian Li']",Aerospace Medicine and Human Performance,"This research paper investigates strategies, research priorities, and challenges for the exploration of space beyond low-earth orbit. The research supports development of countermeasures for space travel."
Spaceflight Induces Specific Alterations in the Proteomes of Arabidopsis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4290804/,"['Rat', 'Arabidopsis', 'Spaceflight', 'Space']",2023-05-18,"['Dr. Samuel Jones', 'Dr. Sarah Wilson', 'Dr. David Kim', 'Dr. Catherine Martinez']",Journal of Exobiology,This research paper investigates spaceflight induces specific alterations in the proteomes of arabidopsis. The results have implications for long-duration space missions.
The effect of spaceflight on the gravity-sensing auxin gradient of roots: GFP reporter gene microscopy on orbit.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5515520/,"['Gene', 'Spaceflight', 'Orbit', 'Space']",2022-09-23,"['Dr. Sarah Wilson', 'Dr. Aisha Khan', 'Dr. Lisa Park']",Aerospace Medicine and Human Performance,This research paper investigates the effect of spaceflight on the gravity-sensing auxin gradient of roots: gfp reporter gene microscopy on orbit.. Our findings contribute to understanding adaptation in space environments.
Skewing in Arabidopsis roots involves disparate environmental signaling pathways.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5286820/,"['Arabidopsis', 'Rat']",2022-03-13,"['Dr. Samuel Jones', 'Dr. Sarah Wilson', 'Dr. Robert Garcia', 'Dr. Thomas Anderson']",Radiation Research,This research paper investigates skewing in arabidopsis roots involves disparate environmental signaling pathways.. The research supports development of countermeasures for space travel.
"Data for characterization of SALK_084889, a T-DNA insertion line of Arabidopsis thaliana",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5470433/,"['Arabidopsis', 'Dna']",2023-01-08,"['Dr. Lisa Park', 'Dr. Ben Carter', 'Dr. Sarah Wilson', 'Dr. David Kim']",Life Support & Space Habitation,"This research paper investigates data for characterization of salk_084889, a t-dna insertion line of arabidopsis thaliana. Our findings contribute to understanding adaptation in space environments."
Genetic dissection of the Arabidopsis spaceflight transcriptome: Are some responses dispensable for the physiological adaptation of plants to spaceflight?,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5491145/,"['Space', 'Adaptation', 'Gene', 'Iss', 'Arabidopsis', 'Spaceflight']",2023-06-11,"['Dr. Sarah Wilson', 'Dr. Eva Rostova', 'Dr. Richard Chen']",Aerospace Medicine and Human Performance,This research paper investigates genetic dissection of the arabidopsis spaceflight transcriptome: are some responses dispensable for the physiological adaptation of plants to spaceflight?. The study provides new insights into the biological mechanisms involved.
Phenotypic characterization of an Arabidopsis T- DNA insertion line SALK_063500,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5996828/,"['Arabidopsis', 'Dna']",2021-10-28,"['Dr. Samuel Jones', 'Dr. Elena Petrov']",Life Support & Space Habitation,This research paper investigates phenotypic characterization of an arabidopsis t- dna insertion line salk_063500. The results have implications for long-duration space missions.
Utilization of single‐image normalized difference vegetation index (SI‐NDVI) for early plant stress detection,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6201722/,['Stress'],2021-04-30,"['Dr. Richard Chen', 'Dr. Maria Gonzalez', 'Dr. Sofia Rossi', 'Dr. Jennifer Lee']",Aerospace Medicine and Human Performance,This research paper investigates utilization of single⊐image normalized difference vegetation index (si⊐ndvi) for early plant stress detection. This work advances our knowledge of biological responses to microgravity.
Comparing RNA-Seq and microarray gene expression data in two zones of the Arabidopsis root apex relevant to spaceflight.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6240453/,"['Arabidopsis', 'Spaceflight', 'Gene', 'Space']",2024-08-31,"['Dr. Lisa Park', 'Dr. Eva Rostova', 'Dr. Jian Li', 'Dr. Aisha Khan']",Journal of Exobiology,This research paper investigates comparing rna-seq and microarray gene expression data in two zones of the arabidopsis root apex relevant to spaceflight.. The results have implications for long-duration space missions.
Spaceflight-induced alternative splicing during seedling development in Arabidopsis thaliana.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6447593/,"['Arabidopsis', 'Spaceflight', 'Development', 'Space']",2021-11-24,"['Dr. Michael Brown', 'Dr. Maria Gonzalez']",Life Support & Space Habitation,This research paper investigates spaceflight-induced alternative splicing during seedling development in arabidopsis thaliana.. The results have implications for long-duration space missions.
The Plant Health Monitoring System of the EDEN ISS Space Greenhouse in Antarctica during the 2018 experiment phase,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7264257/,"['Iss', 'Space']",2023-02-28,['Dr. Maria Gonzalez'],Gravitational and Space Research,This research paper investigates the plant health monitoring system of the eden iss space greenhouse in antarctica during the 2018 experiment phase. The research supports development of countermeasures for space travel.
Root skewing-associated genes impact the spaceflight response of Arabidopsis thaliana.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7064724/,"['Arabidopsis', 'Spaceflight', 'Gene', 'Space']",2020-05-02,"['Dr. Michael Brown', 'Dr. Sarah Wilson', 'Dr. Ben Carter']",Microgravity Science and Technology,This research paper investigates root skewing-associated genes impact the spaceflight response of arabidopsis thaliana.. Our findings contribute to understanding adaptation in space environments.
Articular cartilage and sternal fibrocartilage respond differently to extended microgravity.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6379395/,['Microgravity'],2020-12-18,"['Dr. Maria Gonzalez', 'Dr. Aisha Khan', 'Dr. Jennifer Lee']",Gravitational and Space Research,This research paper investigates articular cartilage and sternal fibrocartilage respond differently to extended microgravity.. The results have implications for long-duration space missions.
Host-microbe interactions in microgravity: assessment and implications.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4187166/,['Microgravity'],2020-11-05,"['Dr. Jennifer Lee', 'Dr. Amanda Taylor', 'Dr. Samuel Jones', 'Dr. Robert Garcia']",International Journal of Space Biology,This research paper investigates host-microbe interactions in microgravity: assessment and implications.. Our findings contribute to understanding adaptation in space environments.
Environmental cues and symbiont microbe-associated molecular patterns function in concert to drive the daily remodelling of the crypt-cell brush border of the Euprymna scolopes light organ,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5219934/,"['Organ', 'Cell']",2020-03-13,"['Dr. Robert Garcia', 'Dr. Elena Petrov', 'Dr. Aisha Khan']",Gravitational and Space Research,This research paper investigates environmental cues and symbiont microbe-associated molecular patterns function in concert to drive the daily remodelling of the crypt-cell brush border of the euprymna scolopes light organ. The study provides new insights into the biological mechanisms involved.
Symbiotic organs shaped by distinct modes of genome evolution in cephalopods.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6386654/,['Organ'],2021-12-22,['Dr. Maria Gonzalez'],International Journal of Space Biology,This research paper investigates symbiotic organs shaped by distinct modes of genome evolution in cephalopods.. Our findings contribute to understanding adaptation in space environments.
Modeled microgravity alters lipopolysaccharide and outer membrane vesicle production of the beneficial symbiont Vibrio fischeri,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7940393/,['Microgravity'],2020-10-14,"['Dr. Maria Gonzalez', 'Dr. Kenji Tanaka']",Journal of Astrobiology,This research paper investigates modeled microgravity alters lipopolysaccharide and outer membrane vesicle production of the beneficial symbiont vibrio fischeri. The study provides new insights into the biological mechanisms involved.
Emergence of novel cephalopod gene regulation and expression through large-scale genome reorganization,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9023564/,"['Organ', 'Gene']",2022-03-18,"['Dr. Lisa Park', 'Dr. Amanda Taylor']",Space Life Sciences,This research paper investigates emergence of novel cephalopod gene regulation and expression through large-scale genome reorganization. This work advances our knowledge of biological responses to microgravity.
Modeled microgravity alters apoptotic gene expression and caspase activity in the squid-vibrio symbiosis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9389742/,"['Microgravity', 'Gene']",2022-06-11,"['Dr. Michael Brown', 'Dr. David Kim', 'Dr. Samuel Jones']",Radiation Research,This research paper investigates modeled microgravity alters apoptotic gene expression and caspase activity in the squid-vibrio symbiosis. The results have implications for long-duration space missions.
In vitro generation of mechanically functional cartilage grafts based on adult human stem cells and 3D-woven poly(epsilon-caprolactone) scaffolds,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2824534/,"['Human', 'Cell', 'Gene', 'Rat']",2024-09-20,"['Dr. Lisa Park', 'Dr. Aisha Khan', 'Dr. Kenji Tanaka', 'Dr. Maria Gonzalez']",Space Medicine Review,This research paper investigates in vitro generation of mechanically functional cartilage grafts based on adult human stem cells and 3d-woven poly(epsilon-caprolactone) scaffolds. The study provides new insights into the biological mechanisms involved.
Chondrogenesis and mineralization during in vitro culture of human mesenchymal stem cells on three-dimensional woven scaffolds,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2991213/,"['Human', 'Cell', 'Gene']",2021-05-12,['Dr. Thomas Anderson'],Space Medicine Review,This research paper investigates chondrogenesis and mineralization during in vitro culture of human mesenchymal stem cells on three-dimensional woven scaffolds. The results have implications for long-duration space missions.
Microbiome metadata standards: Report of the National Microbiome Data Collaborative's workshop and follow-on activities.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8269219/,['Rat'],2021-09-09,"['Dr. Jian Li', 'Dr. Catherine Martinez', 'Dr. Sofia Rossi', 'Dr. Richard Chen']",Life Support & Space Habitation,This research paper investigates microbiome metadata standards: report of the national microbiome data collaborative's workshop and follow-on activities.. This work advances our knowledge of biological responses to microgravity.
Spaceflight alters host-gut microbiota interactions,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11362537/,"['Spaceflight', 'Space']",2024-05-21,"['Dr. Robert Garcia', 'Dr. James Rodriguez']",International Journal of Space Biology,This research paper investigates spaceflight alters host-gut microbiota interactions. The research supports development of countermeasures for space travel.
Asparagine biosynthesis as a mechanism of increased host lethality induced by Serratia marcescens in simulated microgravity environments,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9111996/,"['Microgravity', 'Rat']",2020-02-02,"['Dr. Richard Chen', 'Dr. Maria Gonzalez']",Aerospace Medicine and Human Performance,This research paper investigates asparagine biosynthesis as a mechanism of increased host lethality induced by serratia marcescens in simulated microgravity environments. The research supports development of countermeasures for space travel.
Comparative genomic analysis of Cohnella hashimotonis sp. nov. isolated from the International Space Station.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10308117/,"['International Space Station', 'Rat', 'Space']",2024-03-18,"['Dr. Aisha Khan', 'Dr. Catherine Martinez']",Life Support & Space Habitation,This research paper investigates comparative genomic analysis of cohnella hashimotonis sp. nov. isolated from the international space station.. The study provides new insights into the biological mechanisms involved.
Characterization of metagenome-assembled genomes from the International Space Station,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10233975/,"['International Space Station', 'Space']",2023-04-15,"['Dr. David Kim', 'Dr. Sarah Wilson']",Gravitational and Space Research,This research paper investigates characterization of metagenome-assembled genomes from the international space station. This work advances our knowledge of biological responses to microgravity.
Biocontrol in built environments to reduce pathogen exposure and infection risk.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10848226/,[],2021-05-02,['Dr. Michael Brown'],Microgravity Science and Technology,This research paper investigates biocontrol in built environments to reduce pathogen exposure and infection risk.. This work advances our knowledge of biological responses to microgravity.
Extracellular nucleotides elicit cytosolic free calcium oscillations in Arabidopsis.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3329368/,"['Arabidopsis', 'Cell']",2021-07-02,['Dr. Lisa Park'],Gravitational and Space Research,This research paper investigates extracellular nucleotides elicit cytosolic free calcium oscillations in arabidopsis.. The results have implications for long-duration space missions.
"Calcium, mechanical signaling, and tip growth",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12008199/,['Growth'],2023-06-12,['Dr. Kenji Tanaka'],Space Life Sciences,"This research paper investigates calcium, mechanical signaling, and tip growth. The study provides new insights into the biological mechanisms involved."
Gravitropism and mechanical signaling in plants.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12008199/,[],2024-08-29,"['Dr. Kenji Tanaka', 'Dr. Catherine Martinez', 'Dr. Sofia Rossi']",Space Life Sciences,This research paper investigates gravitropism and mechanical signaling in plants.. The results have implications for long-duration space missions.
"Salt stress-induced Ca2+ waves are associated with rapid, long-distance root-to-shoot signaling in plants.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4035928/,['Stress'],2023-07-09,['Dr. Thomas Anderson'],Life Support & Space Habitation,"This research paper investigates salt stress-induced ca2+ waves are associated with rapid, long-distance root-to-shoot signaling in plants.. The research supports development of countermeasures for space travel."
Gravitropic signaling in plants,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12008199/,[],2021-07-28,"['Dr. Elena Petrov', 'Dr. Maria Gonzalez', 'Dr. Catherine Martinez', 'Dr. Kenji Tanaka']",Life Support & Space Habitation,This research paper investigates gravitropic signaling in plants. The study provides new insights into the biological mechanisms involved.
Wortmannin-induced vacuole fusion enhances amyloplast dynamics in Arabidopsis zigzag1 hypocotyls.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5181587/,['Arabidopsis'],2023-04-24,"['Dr. Elena Petrov', 'Dr. Michael Brown', 'Dr. Jennifer Lee', 'Dr. Sarah Wilson']",Journal of Astrobiology,This research paper investigates wortmannin-induced vacuole fusion enhances amyloplast dynamics in arabidopsis zigzag1 hypocotyls.. The research supports development of countermeasures for space travel.
A ROS-assisted calcium wave dependent on AtRBOHD and TPC1 propagates the systemic response to salt stress in Arabidopsis roots,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4936552/,"['Arabidopsis', 'Stress']",2021-12-13,"['Dr. Ben Carter', 'Dr. Sofia Rossi']",Journal of Astrobiology,This research paper investigates a ros-assisted calcium wave dependent on atrbohd and tpc1 propagates the systemic response to salt stress in arabidopsis roots. The research supports development of countermeasures for space travel.
"ROS, calcium and electric signals: Key mediators of rapid systemic signaling in plants",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7610290/,[],2020-12-12,"['Dr. Sofia Rossi', 'Dr. Amanda Taylor']",International Journal of Space Biology,"This research paper investigates ros, calcium and electric signals: key mediators of rapid systemic signaling in plants. This work advances our knowledge of biological responses to microgravity."
Real-time In Vivo Recording of Arabidopsis Calcium Signals During Insect Feeding Using a Fluorescent Biosensor,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5614317/,['Arabidopsis'],2024-05-04,['Dr. Sofia Rossi'],Space Life Sciences,This research paper investigates real-time in vivo recording of arabidopsis calcium signals during insect feeding using a fluorescent biosensor. Our findings contribute to understanding adaptation in space environments.
"Orchestrating rapid long-distance signaling in plants with Ca2+ , ROS, and electrical signals",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5677518/,['Rat'],2024-08-11,"['Dr. Amanda Taylor', 'Dr. Lisa Park', 'Dr. Michael Brown']",Space Medicine Review,"This research paper investigates orchestrating rapid long-distance signaling in plants with ca2+ , ros, and electrical signals. The study provides new insights into the biological mechanisms involved."
"Glutamate triggers long-distance, calcium-based plant defense signaling.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11850895/,[],2023-08-25,['Dr. Jennifer Lee'],Microgravity Science and Technology,"This research paper investigates glutamate triggers long-distance, calcium-based plant defense signaling.. The results have implications for long-duration space missions."
Test of Arabidopsis Space Transcriptome: A discovery environment to explore multiple plant biology spaceflight experiments.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7076552/,"['Arabidopsis', 'Spaceflight', 'Space']",2024-07-18,"['Dr. Amanda Taylor', 'Dr. Sarah Wilson', 'Dr. Richard Chen', 'Dr. Thomas Anderson']",Aerospace Medicine and Human Performance,This research paper investigates test of arabidopsis space transcriptome: a discovery environment to explore multiple plant biology spaceflight experiments.. The results have implications for long-duration space missions.
Tonoplast-localized Ca2+ pumps regulate Ca2+ signals during pattern-triggered immunity in Arabidopsis thaliana.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7414185/,['Arabidopsis'],2020-05-10,['Dr. Robert Garcia'],Space Medicine Review,This research paper investigates tonoplast-localized ca2+ pumps regulate ca2+ signals during pattern-triggered immunity in arabidopsis thaliana.. Our findings contribute to understanding adaptation in space environments.
The fast and the furious: Rapid long-range signaling in plants.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8133610/,[],2020-02-16,['Dr. Amanda Taylor'],Journal of Astrobiology,This research paper investigates the fast and the furious: rapid long-range signaling in plants.. The results have implications for long-duration space missions.
Rad-Bio-App: A discovery environment for biologists to explore spaceflight-related radiation exposures,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8113475/,"['Radiation', 'Spaceflight', 'Space']",2024-05-28,"['Dr. Catherine Martinez', 'Dr. James Rodriguez', 'Dr. David Kim', 'Dr. Amanda Taylor']",Gravitational and Space Research,This research paper investigates rad-bio-app: a discovery environment for biologists to explore spaceflight-related radiation exposures. Our findings contribute to understanding adaptation in space environments.
The vacuolar H+/Ca transporter CAX1 participates in submergence and anoxia stress responses.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9706465/,['Stress'],2020-07-31,"['Dr. Lisa Park', 'Dr. Elena Petrov', 'Dr. Michael Brown', 'Dr. Maria Gonzalez']",Journal of Astrobiology,This research paper investigates the vacuolar h+/ca transporter cax1 participates in submergence and anoxia stress responses.. The results have implications for long-duration space missions.
Meta-analysis of the space flight and microgravity response of the Arabidopsis plant transcriptome,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10027818/,"['Arabidopsis', 'Microgravity', 'Space']",2024-12-02,"['Dr. Amanda Taylor', 'Dr. Ben Carter']",Gravitational and Space Research,This research paper investigates meta-analysis of the space flight and microgravity response of the arabidopsis plant transcriptome. The study provides new insights into the biological mechanisms involved.
"Low-dose, ionizing radiation and age-related changes in skeletal microarchitecture",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3337602/,['Radiation'],2024-08-31,['Dr. Eva Rostova'],Aerospace Medicine and Human Performance,"This research paper investigates low-dose, ionizing radiation and age-related changes in skeletal microarchitecture. The research supports development of countermeasures for space travel."
Ionizing Radiation Stimulates Expression of Pro-Osteoclastogenic Genes in Marrow and Skeletal Tissue,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4490751/,"['Gene', 'Tissue', 'Iss', 'Radiation']",2022-04-21,"['Dr. Thomas Anderson', 'Dr. Sofia Rossi', 'Dr. James Rodriguez']",International Journal of Space Biology,This research paper investigates ionizing radiation stimulates expression of pro-osteoclastogenic genes in marrow and skeletal tissue. This work advances our knowledge of biological responses to microgravity.
Preservation of Multiple Mammalian Tissues to Maximize Science Return from Ground Based and Spaceflight Experiments,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5132293/,"['Tissue', 'Spaceflight', 'Iss', 'Space']",2023-08-11,"['Dr. Ben Carter', 'Dr. Kenji Tanaka', 'Dr. James Rodriguez', 'Dr. Catherine Martinez']",Journal of Astrobiology,This research paper investigates preservation of multiple mammalian tissues to maximize science return from ground based and spaceflight experiments. Our findings contribute to understanding adaptation in space environments.
Hindlimb Unloading: Rodent Analog for Microgravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11747068/,['Microgravity'],2024-11-29,"['Dr. Kenji Tanaka', 'Dr. Robert Garcia', 'Dr. Sofia Rossi', 'Dr. Richard Chen']",International Journal of Space Biology,This research paper investigates hindlimb unloading: rodent analog for microgravity. Our findings contribute to understanding adaptation in space environments.
Redox Signaling and Its Impact on Skeletal and Vascular Responses to Spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5666834/,"['Spaceflight', 'Space']",2020-07-13,['Dr. Aisha Khan'],Life Support & Space Habitation,This research paper investigates redox signaling and its impact on skeletal and vascular responses to spaceflight. The research supports development of countermeasures for space travel.
Influence of social isolation during prolonged simulated weightlessness by hindlimb unloading,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6753329/,[],2024-04-14,"['Dr. Catherine Martinez', 'Dr. Elena Petrov', 'Dr. Michael Brown']",Gravitational and Space Research,This research paper investigates influence of social isolation during prolonged simulated weightlessness by hindlimb unloading. This work advances our knowledge of biological responses to microgravity.
Validation of a new Rodent experimental System to investigate consequences of Long Duration Space Habitation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7012842/,"['Rat', 'Space']",2022-11-09,"['Dr. Maria Gonzalez', 'Dr. Jennifer Lee']",Gravitational and Space Research,This research paper investigates validation of a new rodent experimental system to investigate consequences of long duration space habitation. The research supports development of countermeasures for space travel.
Skeletal tissue regulation by catalase over-expression in mitochondria,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4405755/,"['Iss', 'Tissue']",2022-03-15,"['Dr. Ben Carter', 'Dr. Richard Chen', 'Dr. Sofia Rossi', 'Dr. Robert Garcia']",Gravitational and Space Research,This research paper investigates skeletal tissue regulation by catalase over-expression in mitochondria. The research supports development of countermeasures for space travel.
Overexpression of catalase in mitochondria mitigates changes in hippocampal cytokine expression following simulated microgravity and isolation.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8260663/,['Microgravity'],2020-07-24,['Dr. James Rodriguez'],Journal of Astrobiology,This research paper investigates overexpression of catalase in mitochondria mitigates changes in hippocampal cytokine expression following simulated microgravity and isolation.. The research supports development of countermeasures for space travel.
An extensive allelic series of Drosophila kae1 mutants reveals diverse and tissue-specific requirements for t6A biogenesis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4647464/,"['Gene', 'Drosophila', 'Iss', 'Tissue']",2023-02-17,"['Dr. Catherine Martinez', 'Dr. Robert Garcia', 'Dr. Kenji Tanaka']",International Journal of Space Biology,This research paper investigates an extensive allelic series of drosophila kae1 mutants reveals diverse and tissue-specific requirements for t6a biogenesis. This work advances our knowledge of biological responses to microgravity.
Novel Organelles with Elements of Bacterial and Eukaryotic Secretion Systems Weaponize Parasites of Drosophila,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5659752/,"['Organ', 'Bacteria', 'Drosophila']",2022-07-19,['Dr. Catherine Martinez'],Journal of Astrobiology,This research paper investigates novel organelles with elements of bacterial and eukaryotic secretion systems weaponize parasites of drosophila. This work advances our knowledge of biological responses to microgravity.
A combined computational strategy of sequence and structural analysis predicts the existence of a functional eicosanoid pathway in Drosophila melanogaster.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6372189/,"['Drosophila', 'Rat']",2020-12-20,"['Dr. Richard Chen', 'Dr. Aisha Khan', 'Dr. Jian Li']",International Journal of Space Biology,This research paper investigates a combined computational strategy of sequence and structural analysis predicts the existence of a functional eicosanoid pathway in drosophila melanogaster.. The study provides new insights into the biological mechanisms involved.
Immune suppressive extracellular vesicle proteins of Leptopilina heterotoma are encoded in the wasp genome.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6945029/,"['Immune', 'Cell', 'Protein']",2024-07-03,['Dr. Michael Brown'],Space Medicine Review,This research paper investigates immune suppressive extracellular vesicle proteins of leptopilina heterotoma are encoded in the wasp genome.. The results have implications for long-duration space missions.
Spaceflight and simulated microgravity conditions increase virulence of Serratia marcescens in the Drosophila melanogaster infection model.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7000411/,"['Space', 'Rat', 'Drosophila', 'Microgravity', 'Spaceflight']",2021-09-25,"['Dr. David Kim', 'Dr. Catherine Martinez', 'Dr. Sarah Wilson']",Aerospace Medicine and Human Performance,This research paper investigates spaceflight and simulated microgravity conditions increase virulence of serratia marcescens in the drosophila melanogaster infection model.. The study provides new insights into the biological mechanisms involved.
A parasitoid wasp of Drosophila employs preemptive and reactive strategies to deplete its host's blood cells,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8191917/,"['Drosophila', 'Cell', 'Rat']",2022-08-24,"['Dr. Michael Brown', 'Dr. Catherine Martinez', 'Dr. Amanda Taylor', 'Dr. David Kim']",International Journal of Space Biology,This research paper investigates a parasitoid wasp of drosophila employs preemptive and reactive strategies to deplete its host's blood cells. The research supports development of countermeasures for space travel.
In Silico Analysis of a Drosophila Parasitoid Venom Peptide Reveals Prevalence of the Cation–Polar–Cation Clip Motif in Knottin Proteins,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9865768/,"['Drosophila', 'Protein']",2024-06-13,"['Dr. Samuel Jones', 'Dr. James Rodriguez']",Journal of Astrobiology,This research paper investigates in silico analysis of a drosophila parasitoid venom peptide reveals prevalence of the cation⊓polar⊓cation clip motif in knottin proteins. This work advances our knowledge of biological responses to microgravity.
